Diederichs Lab - RNA Biology & Cancer 
 German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 http://r-deep.dkfz.de 
 Caudron-Herger et al. 2019 Molecular Cell 75 1-16 
 June 30 2022 
 
"Entry_Name","Uniprot_ID","Gene_Name","Times_Listed_as_RBP","R_DeeP_shift","Baltz_2012","Castello_2012","Beckmann_2015","Castello_2016","Conrad_2016","Mullari_2017","Bao_2018","Perez_Perri_2018","Trendel_2018","Gene_Ontology_RNA_Binding","Cook_2011","Kwon_2013","Ray_2013","Gerstberger_2014","He_2016","Hendrickson_2016","Sundararaman_2016","Brannan_2016","Treiber_2017"
"CSDE1_HUMAN","O75534","CSDE1",15,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," "," ","X"," "
"DAZP1_HUMAN","Q96EP5","DAZAP1",15,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "," "
"DDX27_HUMAN","Q96GQ7","DDX27",15,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X"," "
"DDX5_HUMAN","P17844","DDX5",15,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X"," "
"DHX15_HUMAN","O43143","DHX15",15,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X"," "
"DHX9_HUMAN","Q08211","DHX9",15,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X"," "
"EIF3G_HUMAN","O75821","EIF3G",15," ","X","X","X","X"," ","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"FUBP3_HUMAN","Q96I24","FUBP3",15,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"," ","X"," "," "
"IF4B_HUMAN","P23588","EIF4B",15," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "," "
"IF4H_HUMAN","Q15056","EIF4H",15," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "," "
"ILF3_HUMAN","Q12906","ILF3",15,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X"," "
"KRR1_HUMAN","Q13601","KRR1",15,"X","X","X","X"," ","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"LAR4B_HUMAN","Q92615","LARP4B",15," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "," "
